n_hgnc_symbol	mt_hgnc_symbol	n_start_numt	n_end_numt	mt_start_numt	mt_end_numt	n_leng	mt_leng	ov	percent_n	percent_mt
NA	MT-ATP6	301800000	301800115	301800000	301800587	115	587	115	1	0.195911413969336
MTND3P6	MT-ATP6	301800190	301800528	301800000	301800587	338	587	338	1	0.575809199318569
NA	MT-CO3	301800598	301801378	301800587	301801370	780	783	772	0.98974358974359	0.985951468710089
NA	MT-TG	301800598	301801378	301801371	301801438	780	67	7	0.00897435897435897	0.104477611940299
NA	MT-ND3	301801378	301801975	301801439	301801784	597	345	345	0.577889447236181	1
NA	MT-TR	301801378	301801975	301801785	301801849	597	64	64	0.107202680067002	1
NA	MT-ND4L	301801378	301801975	301801850	301802146	597	296	125	0.209380234505863	0.422297297297297
NA	MT-TG	301801378	301801975	301801371	301801438	597	67	60	0.100502512562814	0.895522388059702
MTND5P16	MT-ND5	302000002	302001704	3.02e+08	302001684	1702	1684	1682	0.988249118683901	0.998812351543943
MTND5P16	MT-ND6	302000002	302001704	302001685	302002209	1702	524	19	0.0111633372502938	0.0362595419847328
MTND6P6	MT-ND6	302001706	302001968	302001685	302002209	262	524	262	1	0.5
NA	MT-CO1	302100000	302100222	302100000	302101448	222	1448	222	1	0.153314917127072
NA	MT-ND1	302200000	302200013	302200000	302200913	13	913	13	1	0.0142387732749179
MTND1P16	MT-ND1	302200000	302200897	302200000	302200913	897	913	897	1	0.982475355969332
MTND2P14	MT-TM	302201105	302201455	302201053	302201120	350	67	15	0.0428571428571429	0.223880597014925
MTND2P14	MT-ND2	302201105	302201455	302201121	302202162	350	1041	334	0.954285714285714	0.320845341018252
MTND2P14	MT-RNR1	302300000	302300000	302300000	302300581	0	581	0	NA	0
NA	MT-CO1	302400001	302400288	302400000	302400294	287	294	287	1	0.976190476190476
NA	MT-CO2	302400435	302400623	302400435	302401118	188	683	188	1	0.275256222547584
MTND4P17	MT-ND4	303200118	303200467	303200000	303200167	349	167	49	0.140401146131805	0.293413173652695
MTND4P17	MT-TH	303200118	303200467	303200168	303200236	349	68	68	0.194842406876791	1
MTND4P17	MT-TS2	303200118	303200467	303200237	303200295	349	58	58	0.166189111747851	1
MTND4P17	MT-ATP6	303300000	303300140	303300000	303300098	140	98	98	0.7	1
MTND4P17	MT-CO3	303300000	303300140	303300098	303300881	140	783	42	0.3	0.053639846743295
NA	MT-CO3	303300184	303300474	303300098	303300881	290	783	290	1	0.37037037037037
MTND3P7	MT-CO3	303300547	303300889	303300098	303300881	342	783	334	0.976608187134503	0.426564495530013
MTND3P7	MT-TG	303300547	303300889	303300882	303300949	342	67	7	0.0204678362573099	0.104477611940299
NA	MT-ND3	303300973	303301738	303300950	303301295	765	345	322	0.420915032679739	0.933333333333333
NA	MT-TR	303300973	303301738	303301296	303301360	765	64	64	0.0836601307189542	1
NA	MT-ND4L	303300973	303301738	303301361	303301657	765	296	296	0.386928104575163	1
NA	MT-ND4	303300973	303301738	303301651	303303028	765	1377	87	0.113725490196078	0.0631808278867102
NA	MT-CO1	303900000	303900192	303900000	303900740	192	740	192	1	0.259459459459459
MTND5P15	MT-ND5	304200000	304200347	304200000	304201136	347	1136	347	1	0.305457746478873
NA	MT-CO3	400200004	400200343	400200000	400200655	339	655	339	1	0.517557251908397
MTND2P31	MT-ND2	400300000	400300615	400300000	400300898	615	898	615	1	0.684855233853007
MTND5P4	MT-ND5	400400001	400400288	400400000	400401050	287	1050	287	1	0.273333333333333
MTND4P9	MT-ND4	400500168	400501831	400500000	400500837	1663	837	669	0.402285027059531	0.799283154121864
MTND4P9	MT-TH	400500168	400501831	400500838	400500906	1663	68	68	0.0408899579073963	1
MTND4P9	MT-TS2	400500168	400501831	400500907	400500965	1663	58	58	0.0348767288033674	1
MTND4P9	MT-TL2	400500168	400501831	400500966	400501036	1663	70	70	0.042092603728202	1
MTND4P9	MT-CO3	400600000	400600533	400600000	400600550	533	550	533	1	0.969090909090909
NA	MT-ND3	400600543	400600818	400600619	400600964	275	345	199	0.723636363636364	0.576811594202899
NA	MT-CO3	400600543	400600818	400600000	400600550	275	550	7	0.0254545454545455	0.0127272727272727
NA	MT-TG	400600543	400600818	400600551	400600618	275	67	67	0.243636363636364	1
MTND3P5	MT-ND3	400600887	400601219	400600619	400600964	332	345	77	0.231927710843373	0.223188405797101
MTND3P5	MT-TR	400600887	400601219	400600965	400601029	332	64	64	0.192771084337349	1
MTND3P5	MT-ND4L	400600887	400601219	400601030	400601326	332	296	189	0.569277108433735	0.638513513513513
NA	MT-ND4L	400601304	400601844	400601030	400601326	540	296	22	0.0407407407407407	0.0743243243243243
NA	MT-ND4	400601304	400601844	400601320	400602697	540	1377	524	0.97037037037037	0.380537400145243
NA	MT-CYB	400800046	400800785	400800000	400800747	739	747	701	0.948579161028417	0.938420348058902
NA	MT-TT	400800046	400800785	400800748	400800813	739	65	37	0.0500676589986468	0.569230769230769
NA	MT-CO3	401200000	401200503	401200000	401200505	503	505	503	1	0.996039603960396
NA	MT-ND3	401200566	401200880	401200574	401200919	314	345	306	0.974522292993631	0.88695652173913
NA	MT-TG	401200566	401200880	401200506	401200573	314	67	7	0.0222929936305732	0.104477611940299
NA	MT-ND3	401300000	401300155	401300000	401300258	155	258	155	1	0.60077519379845
NA	MT-CO3	401400001	401400292	401400000	401400505	291	505	291	1	0.576237623762376
NA	MT-ND3	401400355	401400872	401400574	401400919	517	345	298	0.576402321083172	0.863768115942029
NA	MT-CO3	401400355	401400872	401400000	401400505	517	505	150	0.290135396518375	0.297029702970297
NA	MT-TG	401400355	401400872	401400506	401400573	517	67	67	0.129593810444874	1
NA	MT-ATP6	401600038	401600233	401600000	401600038	195	38	0	0	0
NA	MT-CO3	401600038	401600233	401600038	401600821	195	783	195	1	0.24904214559387
NA	MT-ND5	401800680	401801808	401800000	401801112	1128	1112	432	0.382978723404255	0.388489208633094
NA	MT-ND6	401800680	401801808	401801113	401801637	1128	524	524	0.464539007092199	1
NA	MT-TE	401800680	401801808	401801638	401801706	1128	68	68	0.0602836879432624	1
NA	MT-CYB	401800680	401801808	401801711	401802851	1128	1140	97	0.0859929078014184	0.0850877192982456
MTND6P16	MT-CYB	401801882	401802401	401801711	401802851	519	1140	519	1	0.455263157894737
MTND5P13	MT-CYB	401802431	401803509	401801711	401802851	1078	1140	420	0.38961038961039	0.368421052631579
MTND5P13	MT-TT	401802431	401803509	401802852	401802917	1078	65	65	0.0602968460111317	1
MTND5P13	MT-TP	401802431	401803509	401802920	401802987	1078	67	67	0.062152133580705	1
NA	MT-CO3	401900073	401900366	401900000	401900505	293	505	293	1	0.58019801980198
NA	MT-ND3	401900437	401900765	401900574	401900919	328	345	191	0.582317073170732	0.553623188405797
NA	MT-CO3	401900437	401900765	401900000	401900505	328	505	68	0.207317073170732	0.134653465346535
NA	MT-TG	401900437	401900765	401900506	401900573	328	67	67	0.204268292682927	1
NA	MT-ND3	401900831	401901345	401900574	401900919	514	345	88	0.171206225680934	0.255072463768116
NA	MT-TR	401900831	401901345	401900920	401900984	514	64	64	0.124513618677043	1
NA	MT-ND4L	401900831	401901345	401900985	401901281	514	296	296	0.575875486381323	1
NA	MT-ND4	401900831	401901345	401901275	401902652	514	1377	70	0.136186770428016	0.0508351488743646
NA	MT-RNR2	402300000	402300158	402300000	402301012	158	1012	158	1	0.156126482213439
NA	MT-CYB	402500000	402500818	402500000	402500955	818	955	818	1	0.856544502617801
MTND1P19	MT-ND1	402800520	402800834	402800517	402801472	314	955	314	1	0.328795811518325
MTRNR2L13	MT-RNR2	403301117	403302621	403301094	403302652	1504	1558	1504	1	0.965340179717587
NA	MT-RNR1	403500000	403500770	403500000	403500940	770	940	770	1	0.819148936170213
MTND6P17	MT-TV	403500891	403501409	403500941	403501009	518	68	68	0.131274131274131	1
MTND6P17	MT-RNR2	403500891	403501409	403501010	403502568	518	1558	399	0.77027027027027	0.25609756097561
MTND6P17	MT-RNR1	403500891	403501409	403500000	403500940	518	940	49	0.0945945945945946	0.0521276595744681
MTND5P9	MT-RNR2	403501414	403503168	403501010	403502568	1754	1558	1154	0.657924743443558	0.740693196405648
MTND5P9	MT-TL1	403501414	403503168	403502569	403502643	1754	74	74	0.0421892816419612	1
MTND5P9	MT-ND1	403501414	403503168	403502646	403503601	1754	955	522	0.297605473204105	0.546596858638743
MTND4P8	MT-ND1	403503415	403504776	403502646	403503601	1361	955	186	0.136664217487142	0.194764397905759
MTND4P8	MT-TI	403503415	403504776	403503602	403503670	1361	68	68	0.0499632623071271	1
MTND4P8	MT-TQ	403503415	403504776	403503668	403503739	1361	71	71	0.0521675238795004	1
MTND4P8	MT-TM	403503415	403504776	403503741	403503808	1361	67	67	0.0492285084496694	1
MTND4P8	MT-ND2	403503415	403504776	403503809	403504850	1361	1041	967	0.710506980161646	0.928914505283381
MTND3P3	MT-TN	403505003	403505346	403504996	403505068	343	72	65	0.189504373177843	0.902777777777778
MTND3P3	MT-TC	403505003	403505346	403505100	403505165	343	65	65	0.189504373177843	1
MTND3P3	MT-TY	403505003	403505346	403505165	403505230	343	65	65	0.189504373177843	1
MTND3P3	MT-CO1	403505003	403505346	403505243	403506784	343	1541	103	0.300291545189504	0.0668397144711226
NA	MT-CO1	403505545	403506325	403505243	403506784	780	1541	780	1	0.506164828033744
MTATP6P9	MT-CO1	403506326	403507005	403505243	403506784	679	1541	458	0.674521354933726	0.297209604153147
MTATP6P9	MT-TS1	403506326	403507005	403506785	403506853	679	68	68	0.100147275405007	1
MTATP6P9	MT-TD	403506326	403507005	403506857	403506924	679	67	67	0.0986745213549337	1
MTATP6P9	MT-CO2	403506326	403507005	403506925	403507608	679	683	80	0.117820324005891	0.117130307467057
NA	MT-CO2	403507235	403507928	403506925	403507608	693	683	373	0.538239538239538	0.546120058565154
NA	MT-TK	403507235	403507928	403507634	403507703	693	69	69	0.0995670995670996	1
NA	MT-ATP8	403507235	403507928	403507705	403507911	693	206	206	0.297258297258297	1
NA	MT-ATP6	403507235	403507928	403507866	403508546	693	680	62	0.0894660894660895	0.0911764705882353
NA	MT-ND3	403508069	403509602	403509398	403509743	1533	345	204	0.13307240704501	0.591304347826087
NA	MT-ATP6	403508069	403509602	403507866	403508546	1533	680	477	0.311154598825832	0.701470588235294
NA	MT-CO3	403508069	403509602	403508546	403509329	1533	783	783	0.510763209393346	1
NA	MT-TG	403508069	403509602	403509330	403509397	1533	67	67	0.0437051532941944	1
MTND2P33	MT-ND4L	403509998	403511028	403509809	403510105	1030	296	107	0.103883495145631	0.361486486486487
MTND2P33	MT-ND4	403509998	403511028	403510099	403511476	1030	1377	929	0.901941747572816	0.674655047204067
MTND1P22	MT-ND4	403511238	403512188	403510099	403511476	950	1377	238	0.250526315789474	0.172839506172839
MTND1P22	MT-TH	403511238	403512188	403511477	403511545	950	68	68	0.071578947368421	1
MTND1P22	MT-TS2	403511238	403512188	403511546	403511604	950	58	58	0.0610526315789474	1
MTND1P22	MT-TL2	403511238	403512188	403511605	403511675	950	70	70	0.0736842105263158	1
MTND1P22	MT-ND5	403511238	403512188	403511676	403513487	950	1811	512	0.538947368421053	0.282716731087797
NA	MT-CO2	403900000	403900157	403900000	403900647	157	647	157	1	0.242658423493045
NA	MT-CO1	4.04e+08	404000201	4.04e+08	404000257	201	257	201	1	0.782101167315175
NA	MT-CO2	500100000	500100401	500100000	500100276	401	276	276	0.688279301745636	1
NA	MT-CO1	500200000	500200577	500200000	500200848	577	848	577	1	0.680424528301887
NA	MT-CO1	500300003	500300366	500300000	500300491	363	491	363	1	0.739307535641548
NA	MT-TS1	500300508	500300999	500300492	500300560	491	68	52	0.105906313645621	0.764705882352941
NA	MT-TD	500300508	500300999	500300564	500300631	491	67	67	0.136456211812627	1
NA	MT-CO2	500300508	500300999	500300632	500301315	491	683	367	0.747454175152749	0.537335285505124
MTND6P2	MT-ND6	500400004	500400527	500400003	500400527	523	524	523	1	0.998091603053435
NA	MT-CYB	500400601	500401733	500400601	500401741	1132	1140	1132	1	0.992982456140351
MTRNR2L2	MT-TF	501300000	501301014	501300000	501300070	1014	70	70	0.0690335305719921	1
MTRNR2L2	MT-RNR1	501300000	501301014	501300071	501301024	1014	953	943	0.929980276134122	0.989506820566632
NA	MT-CYB	501500131	501500524	501500000	501500408	393	408	277	0.704834605597964	0.678921568627451
NA	MT-TT	501500131	501500524	501500409	501500474	393	65	65	0.165394402035623	1
NA	MT-TP	501500131	501500524	501500477	501500544	393	67	47	0.119592875318066	0.701492537313433
MTND5P12	MT-ND5	501800005	501801453	501800000	501801486	1448	1486	1448	1	0.97442799461642
MTND6P3	MT-ND5	501801473	501802014	501800000	501801486	541	1486	13	0.0240295748613678	0.00874831763122476
MTND6P3	MT-ND6	501801473	501802014	501801487	501802011	541	524	524	0.968576709796673	1
MTND6P3	MT-TE	501801473	501802014	501802012	501802080	541	68	2	0.00369685767097967	0.0294117647058824
NA	MT-CYB	501802084	501803220	501802085	501803225	1136	1140	1135	0.999119718309859	0.995614035087719
NA	MT-ND6	501900154	501901288	501900000	501900258	1134	258	104	0.091710758377425	0.403100775193798
NA	MT-TE	501900154	501901288	501900259	501900327	1134	68	68	0.0599647266313933	1
NA	MT-CYB	501900154	501901288	501900332	501901472	1134	1140	956	0.843033509700176	0.83859649122807
NA	MT-CO1	502100000	502100406	502100000	502101529	406	1529	406	1	0.265533028122956
NA	MT-CO1	502100541	502102098	502100000	502101529	1557	1529	988	0.634553628773282	0.646173969914977
NA	MT-TS1	502100541	502102098	502101530	502101598	1557	68	68	0.0436737315350032	1
NA	MT-TD	502100541	502102098	502101602	502101669	1557	67	67	0.0430314707771355	1
NA	MT-CO2	502100541	502102098	502101670	502102353	1557	683	428	0.274887604367373	0.626647144948756
NA	MT-CO1	502200000	502200436	502200000	502201328	436	1328	436	1	0.328313253012048
NA	MT-CO1	502200512	502201032	502200000	502201328	520	1328	520	1	0.391566265060241
MTND5P10	MT-CO1	502201039	502202847	502200000	502201328	1808	1328	289	0.159845132743363	0.217620481927711
MTND5P10	MT-TS1	502201039	502202847	502201329	502201397	1808	68	68	0.0376106194690266	1
MTND5P10	MT-TD	502201039	502202847	502201401	502201468	1808	67	67	0.0370575221238938	1
MTND5P10	MT-CO2	502201039	502202847	502201469	502202152	1808	683	683	0.377765486725664	1
MTND5P10	MT-TK	502201039	502202847	502202178	502202247	1808	69	69	0.0381637168141593	1
MTND5P10	MT-ATP8	502201039	502202847	502202249	502202455	1808	206	206	0.113938053097345	1
MTND5P10	MT-ATP6	502201039	502202847	502202410	502203090	1808	680	437	0.241703539823009	0.642647058823529
NA	MT-ND3	502203050	502204424	502203942	502204287	1374	345	345	0.251091703056769	1
NA	MT-TR	502203050	502204424	502204288	502204352	1374	64	64	0.0465793304221252	1
NA	MT-ND4L	502203050	502204424	502204353	502204649	1374	296	71	0.0516739446870451	0.239864864864865
NA	MT-ATP6	502203050	502204424	502202410	502203090	1374	680	40	0.0291120815138282	0.0588235294117647
NA	MT-CO3	502203050	502204424	502203090	502203873	1374	783	783	0.569868995633188	1
NA	MT-TG	502203050	502204424	502203874	502203941	1374	67	67	0.0487627365356623	1
NA	MT-ND4L	502204421	502204712	502204353	502204649	291	296	228	0.783505154639175	0.77027027027027
NA	MT-ND4	502204421	502204712	502204643	502206020	291	1377	69	0.237113402061856	0.0501089324618736
NA	MT-ND4L	502204427	502204500	502204353	502204649	73	296	73	1	0.246621621621622
NA	MT-ND4	502204781	502205125	502204643	502206020	344	1377	344	1	0.249818445896877
NA	MT-ND4	502205195	502205978	502204643	502206020	783	1377	783	1	0.568627450980392
MTATP6P2	MT-ND4	502205982	502206659	502204643	502206020	677	1377	38	0.0561299852289513	0.027596223674655
MTATP6P2	MT-TH	502205982	502206659	502206021	502206089	677	68	68	0.100443131462334	1
MTATP6P2	MT-TS2	502205982	502206659	502206090	502206148	677	58	58	0.085672082717873	1
MTATP6P2	MT-TL2	502205982	502206659	502206149	502206219	677	70	70	0.103397341211226	1
MTATP6P2	MT-ND5	502205982	502206659	502206220	502208031	677	1811	439	0.648449039881832	0.24240750966317
NA	MT-ND5	502206921	502207601	502206220	502208031	680	1811	680	1	0.37548315847598
NA	MT-ND5	502207748	502209107	502206220	502208031	1359	1811	283	0.208241353936718	0.156267255659856
NA	MT-ND6	502207748	502209107	502208032	502208556	1359	524	524	0.385577630610743	1
NA	MT-TE	502207748	502209107	502208557	502208625	1359	68	68	0.0500367917586461	1
NA	MT-CYB	502207748	502209107	502208630	502209770	1359	1140	477	0.350993377483444	0.418421052631579
NA	MT-ND3	5.03e+08	503000740	5.03e+08	503000135	740	135	135	0.182432432432432	1
NA	MT-TR	5.03e+08	503000740	503000136	503000200	740	64	64	0.0864864864864865	1
NA	MT-ND4L	5.03e+08	503000740	503000201	503000497	740	296	296	0.4	1
NA	MT-ND4	5.03e+08	503000740	503000491	503001868	740	1377	249	0.336486486486486	0.18082788671024
MTND6P4	MT-ND4	503000814	503001335	503000491	503001868	521	1377	521	1	0.37835875090777
MTND5P11	MT-ND4	503001339	503003150	503000491	503001868	1811	1377	529	0.292103810049696	0.384168482207698
MTND5P11	MT-TH	503001339	503003150	503001869	503001937	1811	68	68	0.037548315847598	1
MTND5P11	MT-TS2	503001339	503003150	503001938	503001996	1811	58	58	0.0320265046935395	1
MTND5P11	MT-TL2	503001339	503003150	503001997	503002067	1811	70	70	0.0386526780784097	1
MTND5P11	MT-ND5	503001339	503003150	503002068	503003879	1811	1811	1082	0.597459966869133	0.597459966869133
MTND4P12	MT-ND5	503003351	503004727	503002068	503003879	1376	1811	528	0.383720930232558	0.29155162893429
MTND4P12	MT-ND6	503003351	503004727	503003880	503004404	1376	524	524	0.380813953488372	1
MTND4P12	MT-TE	503003351	503004727	503004405	503004473	1376	68	68	0.0494186046511628	1
MTND4P12	MT-CYB	503003351	503004727	503004478	503005618	1376	1140	249	0.180959302325581	0.218421052631579
MIR4461	MT-CYB	503004721	503005017	503004478	503005618	296	1140	296	1	0.259649122807018
MIR4461	MT-CYB	503004730	503004803	503004478	503005618	73	1140	73	1	0.0640350877192983
NA	MT-CYB	503005084	503005218	503004478	503005618	134	1140	134	1	0.117543859649123
NA	MT-CO2	600300045	600300509	600300031	600300714	464	683	464	1	0.679355783308931
MTCO3P1	MT-ATP6	600400001	600400832	600400000	600400098	831	98	97	0.116726835138387	0.989795918367347
MTCO3P1	MT-CO3	600400001	600400832	600400098	600400881	831	783	734	0.883273164861613	0.937420178799489
MTRNR2L9	MT-RNR2	600800000	600800526	600800000	600800821	526	821	526	1	0.64068209500609
NA	MT-ATP8	601200090	601200350	601200000	601200135	260	135	45	0.173076923076923	0.333333333333333
NA	MT-ATP6	601200090	601200350	601200090	601200770	260	680	260	1	0.382352941176471
NA	MT-ND2	601300000	601300012	601300000	601300003	12	3	3	0.25	1
NA	MT-TW	601300000	601300012	601300004	601300071	12	67	8	0.666666666666667	0.119402985074627
NA	MT-TA	601300101	601300266	601300079	601300147	165	68	46	0.278787878787879	0.676470588235294
NA	MT-ND4L	601400000	601400161	601400000	601400292	161	292	161	1	0.551369863013699
NA	MT-ND4L	601400119	601400342	601400000	601400292	223	292	173	0.775784753363229	0.592465753424658
NA	MT-CO1	601500000	601500014	601500000	601500931	14	931	14	1	0.0150375939849624
NA	MT-CO1	601500000	601500195	601500000	601500931	195	931	195	1	0.209452201933405
NA	MT-CYB	601600000	601600406	601600000	601600409	406	409	406	1	0.992665036674817
NA	MT-ND1	601700000	601700074	601700000	601700112	74	112	74	1	0.660714285714286
NA	MT-CO1	601800000	601800169	601800000	601801522	169	1522	169	1	0.111038107752957
MTCYBP4	MT-CYB	602200000	602200248	602200000	602200495	248	495	248	1	0.501010101010101
NA	MT-CO2	602600135	602600818	602600135	602600818	683	683	683	1	1
NA	MT-TK	602600894	602601094	602600844	602600913	200	69	19	0.095	0.27536231884058
NA	MT-ATP8	602600894	602601094	602600915	602601121	200	206	179	0.895	0.868932038834951
NA	MT-ATP6	602600894	602601094	602601076	602601756	200	680	18	0.09	0.0264705882352941
NA	MT-ATP8	602601055	602601746	602600915	602601121	691	206	66	0.0955137481910275	0.320388349514563
NA	MT-ATP6	602601055	602601746	602601076	602601756	691	680	670	0.969609261939218	0.985294117647059
NA	MT-ATP6	602601746	602602534	602601076	602601756	788	680	10	0.0126903553299492	0.0147058823529412
NA	MT-CO3	602601746	602602534	602601756	602602539	788	783	778	0.987309644670051	0.993614303959132
NA	MT-ND3	602602605	602602790	602602608	602602953	185	345	182	0.983783783783784	0.527536231884058
NA	MT-TG	602602605	602602790	602602540	602602607	185	67	2	0.0108108108108108	0.0298507462686567
NA	MT-TR	602603017	602603286	602602954	602603018	269	64	1	0.00371747211895911	0.015625
NA	MT-ND4L	602603017	602603286	602603019	602603315	269	296	267	0.992565055762082	0.902027027027027
MTND4P13	MT-ND4L	602603307	602604329	602603019	602603315	1022	296	8	0.00782778864970646	0.027027027027027
MTND4P13	MT-ND4	602603307	602604329	602603309	602604686	1022	1377	1020	0.998043052837573	0.740740740740741
NA	MT-CYB	700200151	700201280	700200039	700201179	1129	1140	1028	0.910540301151461	0.901754385964912
NA	MT-TT	700200151	700201280	700201180	700201245	1129	65	65	0.0575730735163862	1
NA	MT-TP	700200151	700201280	700201248	700201315	1129	67	32	0.0283436669619132	0.477611940298507
NA	MT-ND2	700300000	700300263	700300000	700300771	263	771	263	1	0.341115434500649
NA	MT-ATP6	700700905	700701676	700700226	700700906	771	680	1	0.0012970168612192	0.00147058823529412
NA	MT-CO3	700700905	700701676	700700906	700701689	771	783	770	0.998702983138781	0.983397190293742
MTND4P4	MT-ND4L	700702431	700703796	700702169	700702465	1365	296	34	0.0249084249084249	0.114864864864865
MTND4P4	MT-ND4	700702431	700703796	700702459	700703836	1365	1377	1337	0.979487179487179	0.970951343500363
MTND5P6	MT-TL2	700703999	700705796	700703965	700704035	1797	70	36	0.0200333889816361	0.514285714285714
MTND5P6	MT-ND5	700703999	700705796	700704036	700705847	1797	1811	1760	0.979410127991096	0.971838763114302
NA	MT-TE	700706382	700707387	700706373	700706441	1005	68	59	0.0587064676616915	0.867647058823529
NA	MT-CYB	700706382	700707387	700706446	700707586	1005	1140	941	0.936318407960199	0.825438596491228
NA	MT-CYB	700800000	700800124	700800000	700800138	124	138	124	1	0.898550724637681
MTND1P4	MT-ND1	700900023	700900437	700900000	700900443	414	443	414	1	0.934537246049661
MTND2P6	MT-TM	700900647	700901676	700900583	700900650	1029	67	3	0.00291545189504373	0.0447761194029851
MTND2P6	MT-ND2	700900647	700901676	700900651	700901692	1029	1041	1025	0.996112730806608	0.984630163304515
NA	MT-CO1	700902127	700904375	700902085	700903626	2248	1541	1499	0.666814946619217	0.972744970798183
NA	MT-TS1	700902127	700904375	700903627	700903695	2248	68	68	0.0302491103202847	1
NA	MT-TD	700902127	700904375	700903699	700903766	2248	67	67	0.0298042704626335	1
NA	MT-CO2	700902127	700904375	700903767	700904450	2248	683	608	0.270462633451957	0.890190336749634
NA	MT-ATP6	700905376	700906162	700904708	700905388	786	680	12	0.0152671755725191	0.0176470588235294
NA	MT-CO3	700905376	700906162	700905388	700906171	786	783	774	0.984732824427481	0.988505747126437
MTND4P5	MT-ND4L	700906929	700908303	700906651	700906947	1374	296	18	0.0131004366812227	0.0608108108108108
MTND4P5	MT-ND4	700906929	700908303	700906941	700908318	1374	1377	1362	0.991266375545852	0.989106753812636
MTND5P7	MT-TL2	700908492	700910289	700908447	700908517	1797	70	25	0.0139120756816917	0.357142857142857
MTND5P7	MT-ND5	700908492	700910289	700908518	700910329	1797	1811	1771	0.985531441291041	0.977912755383766
NA	MT-TE	700910873	700912007	700910855	700910923	1134	68	50	0.0440917107583774	0.735294117647059
NA	MT-CYB	700910873	700912007	700910928	700912068	1134	1140	1079	0.951499118165785	0.946491228070175
MTND4P2	MT-ATP6	701200000	701201201	701200000	701200545	1201	545	545	0.453788509575354	1
MTND4P2	MT-CO3	701200000	701201201	701200545	701201328	1201	783	656	0.546211490424646	0.837803320561941
NA	MT-ND3	701201198	701201482	701201397	701201742	284	345	85	0.299295774647887	0.246376811594203
NA	MT-CO3	701201198	701201482	701200545	701201328	284	783	130	0.457746478873239	0.16602809706258
NA	MT-TG	701201198	701201482	701201329	701201396	284	67	67	0.235915492957746	1
MTND3P2	MT-ND3	701201560	701201901	701201397	701201742	341	345	182	0.533724340175953	0.527536231884058
MTND3P2	MT-TR	701201560	701201901	701201743	701201807	341	64	64	0.187683284457478	1
MTND3P2	MT-ND4L	701201560	701201901	701201808	701202104	341	296	93	0.272727272727273	0.314189189189189
NA	MT-ND4L	701201971	701202725	701201808	701202104	754	296	133	0.176392572944297	0.449324324324324
NA	MT-ND4	701201971	701202725	701202098	701203475	754	1377	627	0.831564986737401	0.455337690631808
NA	MT-ND4	701202728	701203478	701202098	701203475	750	1377	747	0.996	0.542483660130719
NA	MT-ND1	701300000	701300115	701300000	701300832	115	832	115	1	0.138221153846154
NA	MT-ND1	701300372	701301029	701300000	701300832	657	832	460	0.700152207001522	0.552884615384615
NA	MT-TI	701300372	701301029	701300833	701300901	657	68	68	0.103500761035008	1
NA	MT-TQ	701300372	701301029	701300899	701300970	657	71	71	0.10806697108067	1
NA	MT-TM	701300372	701301029	701300972	701301039	657	67	57	0.0867579908675799	0.850746268656716
NA	MT-ND2	701301168	701302690	701301040	701302081	1522	1041	913	0.599868593955322	0.877041306436119
NA	MT-TW	701301168	701302690	701302082	701302149	1522	67	67	0.0440210249671485	1
NA	MT-TA	701301168	701302690	701302157	701302225	1522	68	68	0.0446780551905388	1
NA	MT-TN	701301168	701302690	701302227	701302299	1522	72	72	0.0473061760840999	1
NA	MT-TC	701301168	701302690	701302331	701302396	1522	65	65	0.0427069645203679	1
NA	MT-TY	701301168	701302690	701302396	701302461	1522	65	65	0.0427069645203679	1
NA	MT-CO1	701301168	701302690	701302474	701304015	1522	1541	216	0.1419185282523	0.140168721609345
MTND2P4	MT-CO1	701303090	701304093	701302474	701304015	1003	1541	925	0.922233300099701	0.600259571706684
MTND2P4	MT-TS1	701303090	701304093	701304016	701304084	1003	68	68	0.0677966101694915	1
MTND2P4	MT-TD	701303090	701304093	701304088	701304155	1003	67	5	0.00498504486540379	0.0746268656716418
MTND1P2	MT-CO2	701304295	701305115	701304156	701304839	820	683	544	0.663414634146341	0.796486090775988
MTND1P2	MT-TK	701304295	701305115	701304865	701304934	820	69	69	0.0841463414634146	1
MTND1P2	MT-ATP8	701304295	701305115	701304936	701305142	820	206	179	0.218292682926829	0.868932038834951
MTND1P2	MT-ATP6	701304295	701305115	701305097	701305777	820	680	18	0.0219512195121951	0.0264705882352941
NA	MT-ATP6	701500000	701500187	701500000	701500190	187	190	187	1	0.984210526315789
NA	MT-ATP6	701500190	701500517	701500000	701500190	327	190	0	0	0
NA	MT-CO3	701500190	701500517	701500190	701500973	327	783	327	1	0.417624521072797
NA	MT-CO1	701600001	701600514	701600000	701600264	513	264	263	0.512670565302144	0.996212121212121
NA	MT-CO1	701700000	701700136	701700000	701700142	136	142	136	1	0.957746478873239
MTND4P3	MT-ND4	701800000	701800539	701800000	701800830	539	830	539	1	0.649397590361446
MTND4P3	MT-ND4	701900000	701900281	701900000	701901011	281	1011	281	1	0.277942631058358
NA	MT-CO2	702200106	702200786	702200071	702200754	680	683	648	0.952941176470588	0.948755490483163
NA	MT-TK	702200106	702200786	702200780	702200849	680	69	6	0.00882352941176471	0.0869565217391304
NA	MT-CO1	702300094	702301892	702300000	702300897	1798	897	803	0.446607341490545	0.89520624303233
NA	MT-TS1	702300094	702301892	702300898	702300966	1798	68	68	0.0378197997775306	1
NA	MT-TD	702300094	702301892	702300970	702301037	1798	67	67	0.0372636262513904	1
